iter	RMSE
0	36.02154335
1	34.80430837
2	33.76166832
3	32.72744184
4	31.75294384
5	30.97846057
6	30.36989865
7	29.62826928
8	28.81705698
9	28.3042715
10	27.64937595
11	27.34669126
12	26.6924048
13	26.19567804
14	25.78031864
15	25.05364906
16	24.75466842
17	24.2777351
18	24.02128169
19	23.37712255
20	22.79251687
21	22.47784185
22	22.30865523
23	21.74219942
24	21.48818943
25	21.39512151
26	20.92025044
27	20.75837184
28	20.62603552
29	20.56401916
30	20.47876724
31	19.98841538
32	19.65772989
33	19.54659655
34	19.45118565
35	19.14727835
36	19.1057585
37	18.85392643
38	18.47546096
39	18.26420226
40	18.0205567
41	17.73842566
42	17.52380835
43	17.36605972
44	17.32634327
45	17.19372687
46	17.1277739
47	16.91950824
48	16.81058786
49	16.65552677
50	16.43953086
51	16.30969977
52	16.15638913
53	16.01848294
54	15.95794781
55	15.81206199
56	15.71435313
57	15.54167012
58	15.40833606
59	15.28239064
60	15.26845411
61	15.08208006
62	14.9914913
63	14.93872452
64	14.78216702
65	14.63117127
66	14.60062101
67	14.48237367
68	14.29270891
69	14.181331
70	14.15961184
71	14.01703042
72	13.91562402
73	13.89159744
74	13.8320765
75	13.71836734
76	13.63435802
77	13.52965236
78	13.45942642
79	13.42755702
80	13.41336351
81	13.34916123
82	13.2496861
83	13.15277426
84	13.11311434
85	12.97314045
86	12.87999009
87	12.84094364
88	12.75296223
89	12.64533882
90	12.57008854
91	12.55292881
92	12.46521856
93	12.42915262
94	12.36328259
95	12.26699848
96	12.20880181
97	12.15370662
98	12.10079711
99	12.08085758
100	12.0503916
101	12.01928897
102	11.97649353
103	11.92458635
104	11.83429263
105	11.82209417
106	11.7612206
107	11.69839681
108	11.62177952
109	11.55173951
110	11.52485945
111	11.51342939
112	11.49999332
113	11.45238853
114	11.4001301
115	11.36914285
116	11.32526069
117	11.27961665
118	11.26412081
119	11.23017479
120	11.21839346
121	11.14842722
122	11.11397926
123	11.0491945
124	11.03977677
125	10.99735475
126	10.97110471
127	10.9095873
128	10.8623721
129	10.85629612
130	10.79047925
131	10.76441088
132	10.75591558
133	10.71523414
134	10.67642347
135	10.62186744
136	10.59514189
137	10.55557674
138	10.54603719
139	10.53958682
140	10.52219715
141	10.50622802
142	10.49967523
143	10.46581991
144	10.42927168
145	10.40009554
146	10.347671
147	10.335981
148	10.32255596
149	10.30084016
150	10.29339132
151	10.2608841
152	10.23761981
153	10.17390468
154	10.12579127
155	10.09754619
156	10.05587398
157	10.03033458
158	10.00936425
159	9.984851416
160	9.977731918
161	9.967472438
162	9.938195396
163	9.920187933
164	9.908701743
165	9.872821369
166	9.833666646
167	9.827546209
168	9.799892988
169	9.795828803
170	9.762601891
171	9.740408144
172	9.725865129
173	9.712998848
174	9.697415916
175	9.6803259
176	9.666204618
177	9.641159882
178	9.607375807
179	9.603388133
180	9.571513667
181	9.561487128
182	9.529747336
183	9.498089456
184	9.492415928
185	9.478636399
186	9.472419755
187	9.446439944
188	9.436314159
189	9.411552165
190	9.386683188
191	9.368856831
192	9.365030965
193	9.353915098
194	9.316628071
195	9.312610283
196	9.299765142
197	9.275115573
198	9.255709206
199	9.215428958
200	9.167694806
201	9.146443433
202	9.115606707
203	9.088018585
204	9.083160781
205	9.073959277
206	9.060308047
207	9.024340335
208	9.017894714
209	9.011995392
210	8.997258944
211	8.973567883
212	8.950734392
213	8.946898056
214	8.939603977
215	8.936082649
216	8.902700898
217	8.868984772
218	8.847991074
219	8.806393262
220	8.795346678
221	8.791818395
222	8.787246238
223	8.762813253
224	8.750109454
225	8.710781255
226	8.688751839
227	8.659112346
228	8.640397793
229	8.635491166
230	8.6276616
231	8.612392568
232	8.597822176
233	8.58190361
234	8.575265509
235	8.571045533
236	8.560272663
237	8.545477498
238	8.531270162
239	8.528328166
240	8.497869522
241	8.491165118
242	8.461454224
243	8.44291051
244	8.427543312
245	8.414587647
246	8.410805089
247	8.393086062
248	8.385050401
249	8.381428975
250	8.369883541
251	8.36610205
252	8.36359002
253	8.34575743
254	8.31705402
255	8.278073349
256	8.267728926
257	8.248713463
258	8.226502169
259	8.220432802
260	8.208105088
261	8.192409269
262	8.190360386
263	8.186505568
264	8.178100709
265	8.16044882
266	8.139526156
267	8.137848746
268	8.12526316
269	8.121937625
270	8.097243617
271	8.081162212
272	8.076939102
273	8.070601247
274	8.066847249
275	8.057126979
276	8.047311149
277	8.031350643
278	8.028177031
279	8.008416026
280	7.990448127
281	7.983005128
282	7.977550358
283	7.973786528
284	7.970781443
285	7.960999099
286	7.945868873
287	7.934614464
288	7.918512506
289	7.904967653
290	7.901668539
291	7.896621082
292	7.892007994
293	7.884267723
294	7.879657935
295	7.87581114
296	7.87301498
297	7.869910331
298	7.855300854
299	7.850461291
300	7.839711863
301	7.820388134
302	7.794385867
303	7.787422829
304	7.777581622
305	7.756264621
306	7.742811914
307	7.731760403
308	7.722246351
309	7.71011397
310	7.702882359
311	7.695627471
312	7.687704623
313	7.678816564
314	7.66362019
315	7.655286616
316	7.652360745
317	7.643107715
318	7.632709887
319	7.609926288
320	7.60287794
321	7.596443767
322	7.593977313
323	7.590622042
324	7.581297636
325	7.569992733
326	7.560886041
327	7.55875318
328	7.556105687
329	7.549470553
330	7.525986092
331	7.516229799
332	7.502509738
333	7.496056547
334	7.490600272
335	7.478314247
336	7.462676333
337	7.460567377
338	7.455834051
339	7.429556936
340	7.415549652
341	7.404794167
342	7.397524399
343	7.390440635
344	7.373556018
345	7.366663119
346	7.359923571
347	7.357124521
348	7.354211505
349	7.351553096
350	7.346204397
351	7.33017259
352	7.327930426
353	7.323468897
354	7.313511822
355	7.30896823
356	7.306748015
357	7.302936466
358	7.300585068
359	7.274653737
360	7.26642672
361	7.261367694
362	7.258463389
363	7.2508896
364	7.229918787
365	7.223085938
366	7.21994649
367	7.216837201
368	7.208699867
369	7.203611346
370	7.202384615
371	7.200499038
372	7.198014915
373	7.188766298
374	7.180922879
375	7.157767995
376	7.149265034
377	7.144893382
378	7.142585047
379	7.140037743
380	7.135107032
381	7.131369291
382	7.126110623
383	7.117265449
384	7.112125227
385	7.108289147
386	7.106160851
387	7.103972581
388	7.100641962
389	7.09760099
390	7.095390708
391	7.089397902
392	7.087444292
393	7.081596551
394	7.059637473
395	7.052567377
396	7.040529319
397	7.030533473
398	7.023177957
399	7.021309483
400	7.017785557
401	7.003218836
402	6.997518365
403	6.994063611
404	6.98650585
405	6.974996094
406	6.954674815
407	6.947976879
408	6.945609182
409	6.94080611
410	6.932690008
411	6.925213128
412	6.913346863
413	6.905583289
414	6.891392599
415	6.885628344
416	6.86855447
417	6.866041768
418	6.862966619
419	6.852341673
420	6.841088581
421	6.837905395
422	6.832668756
423	6.830481377
424	6.827062401
425	6.824738019
426	6.8188627
427	6.814697988
428	6.81125624
429	6.803217543
430	6.79713771
431	6.792030763
432	6.77984829
433	6.773062451
434	6.770900355
435	6.765540875
436	6.760215837
437	6.754590435
438	6.748727381
439	6.746861759
440	6.73781484
441	6.735665569
442	6.725332152
443	6.721396908
444	6.716982906
445	6.71366429
446	6.704722487
447	6.702820993
448	6.702008456
449	6.677515905
450	6.673864881
451	6.665421935
452	6.663751426
453	6.660650001
454	6.646981444
455	6.640628461
456	6.636938838
457	6.634417747
458	6.632768898
459	6.630414952
460	6.628567206
461	6.617506039
462	6.597138191
463	6.593416048
464	6.587666607
465	6.584219807
466	6.578853511
467	6.570490954
468	6.566970969
469	6.558752788
470	6.552177691
471	6.544061004
472	6.536583419
473	6.530327532
474	6.524865976
475	6.521497993
476	6.5177413
477	6.513701482
478	6.509205172
479	6.498874696
480	6.485003547
481	6.482759428
482	6.473365182
483	6.467913382
484	6.463254313
485	6.458672445
486	6.452147994
487	6.44899471
488	6.446366181
489	6.434980475
490	6.432886105
491	6.431307971
492	6.430104252
493	6.425497814
494	6.418485769
495	6.41691563
496	6.41005132
497	6.408202232
498	6.404699671
499	6.403867682
500	6.392495027
501	6.388384604
502	6.386817688
503	6.381479106
504	6.37936769
505	6.376677891
506	6.372361842
507	6.369623474
508	6.366804929
509	6.364483363
510	6.363329949
511	6.359322364
512	6.35765868
513	6.355365276
514	6.349013767
515	6.346482036
516	6.344177704
517	6.342767016
518	6.342105464
519	6.338754256
520	6.336132561
521	6.334764835
522	6.331547081
523	6.325787
524	6.322239711
525	6.321440604
526	6.311575546
527	6.309451515
528	6.307625254
529	6.303825196
530	6.29815608
531	6.285319748
532	6.271473431
533	6.269836297
534	6.265232412
535	6.263338656
536	6.261330059
537	6.244313138
538	6.24150087
539	6.238320011
540	6.232537021
541	6.231194428
542	6.226327957
543	6.225091668
544	6.223719401
545	6.215534861
546	6.201332556
547	6.180992955
548	6.178624006
549	6.174261177
550	6.1673644
551	6.165584837
552	6.159485372
553	6.157958158
554	6.155493132
555	6.151429761
556	6.147570493
557	6.140203305
558	6.138187535
559	6.137511757
560	6.135529005
561	6.134488947
562	6.13347508
563	6.130169876
564	6.128141642
565	6.122265633
566	6.119453329
567	6.118008651
568	6.116022786
569	6.114923143
570	6.109816755
571	6.106179903
572	6.099383011
573	6.095807233
574	6.090716289
575	6.089142543
576	6.086901398
577	6.068245467
578	6.064159694
579	6.059916192
580	6.054533766
581	6.053663643
582	6.051446178
583	6.048531786
584	6.043942714
585	6.024238795
586	6.022061201
587	6.009479891
588	6.007236125
589	5.988242041
590	5.985401973
591	5.9827167
592	5.981940422
593	5.980375869
594	5.978898913
595	5.978048517
596	5.972461436
597	5.965751687
598	5.960103982
599	5.957614881
600	5.956816708
601	5.954869414
602	5.952107359
603	5.951153503
604	5.945651144
605	5.944293257
606	5.93625989
607	5.931930338
608	5.924016595
609	5.907643341
610	5.90271067
611	5.89989604
612	5.881123707
613	5.876617719
614	5.874544297
615	5.873498958
616	5.872136594
617	5.867923565
618	5.859940767
619	5.858387063
620	5.855795796
621	5.854823368
622	5.851915112
623	5.846567237
624	5.845092229
625	5.839557877
626	5.834888202
627	5.822395361
628	5.820273507
629	5.817364914
630	5.81168302
631	5.802582452
632	5.798755057
633	5.794472949
634	5.790989696
635	5.788269127
636	5.77581981
637	5.774436566
638	5.772895097
639	5.771060738
640	5.769775312
641	5.764392525
642	5.754078133
643	5.74893722
644	5.748134998
645	5.746820313
646	5.742920288
647	5.73960465
648	5.737929703
649	5.733965765
650	5.730594863
651	5.726575358
652	5.722635257
653	5.720808274
654	5.720166643
655	5.711380341
656	5.709625218
657	5.708184309
658	5.706551275
659	5.705094898
660	5.703077906
661	5.699681676
662	5.697576731
663	5.694144218
664	5.68680185
665	5.683816219
666	5.680760343
667	5.674649445
668	5.674012373
669	5.673205597
670	5.671191544
671	5.6542851
672	5.648824975
673	5.625600976
674	5.620985178
675	5.615946107
676	5.612551901
677	5.610555138
678	5.609429671
679	5.608052343
680	5.603845195
681	5.602228905
682	5.600513472
683	5.596319798
684	5.593999698
685	5.591404507
686	5.590234721
687	5.588505653
688	5.58586685
689	5.584627959
690	5.581537322
691	5.579057938
692	5.577023319
693	5.57621164
694	5.574315834
695	5.570332213
696	5.569560531
697	5.560583942
698	5.559323953
699	5.555729007
700	5.554950725
701	5.549784801
702	5.54598929
703	5.537360607
704	5.534953922
705	5.532852115
706	5.530694684
707	5.525678398
708	5.508194397
709	5.502205523
710	5.488419668
711	5.485213314
712	5.484004351
713	5.483212763
714	5.482491347
715	5.481231719
716	5.466326424
717	5.464768607
718	5.461471219
719	5.45858377
720	5.457453563
721	5.455081248
722	5.452652946
723	5.448063709
724	5.443897528
725	5.441324444
726	5.438413988
727	5.437844625
728	5.433514486
729	5.430957846
730	5.427975166
731	5.423309824
732	5.404331599
733	5.400624699
734	5.396672106
735	5.393826537
736	5.388636778
737	5.38653654
738	5.382659396
739	5.379663926
740	5.37650845
741	5.375795901
742	5.372428885
743	5.369937438
744	5.368602654
745	5.367704372
746	5.365633755
747	5.360976351
748	5.343307135
749	5.341397062
750	5.337750539
751	5.335664838
752	5.333132532
753	5.329468754
754	5.32854282
755	5.327978653
756	5.324437293
757	5.322154903
758	5.319714348
759	5.316408631
760	5.315857907
761	5.301297481
762	5.300034599
763	5.298897206
764	5.296195223
765	5.292401909
766	5.281484043
767	5.280188348
768	5.27913654
769	5.276753436
770	5.275052876
771	5.273380574
772	5.271368418
773	5.266626011
774	5.265047885
775	5.264551895
776	5.263310378
777	5.261370544
778	5.260161942
779	5.25946552
780	5.25565211
781	5.248763803
782	5.247855353
783	5.246394548
784	5.242776478
785	5.238112802
786	5.235916844
787	5.23477596
788	5.233265611
789	5.229424627
790	5.228663984
791	5.226859357
792	5.224054339
793	5.221765975
794	5.220606102
795	5.219671384
796	5.218148352
797	5.217677756
798	5.215997132
799	5.21552161
800	5.213223702
801	5.212110317
802	5.211304886
803	5.210444192
804	5.207837585
805	5.205660368
806	5.203180342
807	5.199376266
808	5.197785496
809	5.196570367
810	5.19592881
811	5.194974567
812	5.192606272
813	5.191975716
814	5.190435153
815	5.189780346
816	5.188616574
817	5.187195892
818	5.186422421
819	5.18480804
820	5.183187963
821	5.180642153
822	5.180185702
823	5.179495124
824	5.175842732
825	5.173392495
826	5.164954302
827	5.163248918
828	5.157818123
829	5.156328227
830	5.154161503
831	5.153667203
832	5.152418544
833	5.150829467
834	5.149255317
835	5.148325952
836	5.146843957
837	5.143742573
838	5.141855863
839	5.140767281
840	5.140297559
841	5.138459829
842	5.133867587
843	5.132267462
844	5.130154511
845	5.128888221
846	5.12721168
847	5.126387383
848	5.124630678
849	5.12378248
850	5.122900994
851	5.121276903
852	5.120359328
853	5.120009528
854	5.118264768
855	5.115136785
856	5.099281054
857	5.097970005
858	5.097358094
859	5.096254865
860	5.094413986
861	5.091613892
862	5.091057212
863	5.088101333
864	5.08734542
865	5.085282149
866	5.084164549
867	5.078795673
868	5.077738548
869	5.076824977
870	5.074464882
871	5.073423165
872	5.072610889
873	5.072023392
874	5.070793082
875	5.070144529
876	5.069825324
877	5.068425944
878	5.066781589
879	5.066447147
880	5.065168819
881	5.061261099
882	5.058903192
883	5.058481803
884	5.058078964
885	5.057393726
886	5.055613066
887	5.055340178
888	5.054759153
889	5.039427827
890	5.036769615
891	5.034675012
892	5.033969757
893	5.028003139
894	5.024256851
895	5.022302961
896	5.022009445
897	5.020621148
898	5.019666427
899	5.007611569
900	5.007037297
901	5.006488267
902	5.006073996
903	5.002544298
904	5.001309281
905	5.000915306
906	4.986694964
907	4.98637499
908	4.985146003
909	4.984522664
910	4.983060781
911	4.981387188
912	4.980866031
913	4.980613751
914	4.977823208
915	4.976760593
916	4.97549326
917	4.961997694
918	4.960645811
919	4.959533161
920	4.956743878
921	4.953391181
922	4.950714064
923	4.941987008
924	4.940575056
925	4.937009949
926	4.936704333
927	4.934420458
928	4.933826309
929	4.931957388
930	4.929096191
931	4.924682278
932	4.921182193
933	4.920229202
934	4.891340663
935	4.888948382
936	4.88601777
937	4.882437078
938	4.879224151
939	4.866337904
940	4.864439428
941	4.863838474
942	4.862838828
943	4.861487634
944	4.860784763
945	4.853911108
946	4.852984638
947	4.851934788
948	4.849610574
949	4.847542237
950	4.845959405
951	4.84521631
952	4.843357611
953	4.842050093
954	4.840078629
955	4.838142708
956	4.837857392
957	4.83611753
958	4.834111389
959	4.831168451
960	4.82984955
961	4.827881365
962	4.826582875
963	4.825906224
964	4.824859662
965	4.821573366
966	4.818233623
967	4.817407215
968	4.817135098
969	4.816825521
970	4.81654987
971	4.814695949
972	4.814060804
973	4.811167359
974	4.810101333
975	4.808700945
976	4.807809787
977	4.805286079
978	4.804053467
979	4.801201177
980	4.79954864
981	4.797843198
982	4.797196489
983	4.796145178
984	4.794575997
985	4.782930132
986	4.775778476
987	4.774965776
988	4.773192433
989	4.770656382
990	4.769248065
991	4.768134092
992	4.766680367
993	4.759964812
994	4.758990847
995	4.758726335
996	4.758100479
997	4.756300827
998	4.755266989
999	4.754070445
